animal_id,name,gender,age,weight,scraped_at,shelter_id,city,state,shelter_name,shelter_profile_url,public_image_url
PACC-A881100,Iibi,Neutered Male,"1 Year, 9 Months Old",38 Pounds,2026-06-15 08:00:46.660172+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A881100,null
PACC-A881677,King,Neutered Male,6 Years Old,74 Pounds,2026-06-15 08:00:46.660883+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A881677,null
PACC-A882146,Bolt,Neutered Male,"1 Year, 2 Months Old",39 Pounds,2026-06-15 08:00:46.661564+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA2/A882146,null
PACC-A883354,Canela,Unaltered Female,1 Year Old,43 Pounds,2026-06-15 08:00:46.662253+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A883354,null
PACC-A883505,Lunox,Neutered Male,"2 Years, 8 Months Old",55 Pounds,2026-06-15 08:00:46.662921+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A883505,null
PACC-A884166,Jammy,Neutered Male,"2 Years, 8 Months Old",53 Pounds,2026-06-15 08:00:46.66358+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A884166,null
PACC-A884266,Roxy,Spayed Female,3 Years Old,88 Pounds,2026-06-15 08:00:46.66428+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A884266,null
PACC-A885047,Mojo,Neutered Male,4 Years Old,61 Pounds,2026-06-15 08:00:46.664953+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A885047,null
PACC-A886064,Rove,Neutered Male,"1 Year, 3 Months Old",86 Pounds,2026-06-15 08:00:46.665652+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A886064,null
PACC-A886562,Dolce,Spayed Female,"2 Years, 7 Months Old",55 Pounds,2026-06-15 08:00:46.666326+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A886562,null
PACC-A887098,Sprinkles,Spayed Female,"2 Years, 7 Months Old",51 Pounds,2026-06-15 08:00:46.666995+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A887098,null
AHSCN-48061121,"A Pet :: Captain - Newark, NJ",null,null,null,2026-06-15 20:00:37.040847+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48061121-newark-new-jersey-german-shepherd-dog-mix,https://pet-uploads.adoptapet.com/c/a/a/1311460767.jpg
AHSCN-48080620,"A Pet :: Charles - Newark, NJ",null,null,null,2026-06-15 20:00:37.040849+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48080620-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/6/0/4/1311460946.jpg
AHSCN-48250028,"A Pet :: Charlie - Newark, NJ",null,null,null,2026-06-15 20:00:37.040867+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48250028-newark-new-jersey-american-bulldog-mix,https://pet-uploads.adoptapet.com/0/4/2/1311476062.jpg
AHSCN-48352127,"A Pet :: Chester - Newark, NJ",null,null,null,2026-06-15 20:00:37.04087+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48352127-newark-new-jersey-shih-tzu-mix,https://pet-uploads.adoptapet.com/f/1/6/1312885075.jpg
AHSCN-48297858,"A Pet :: Churro - Newark, NJ",null,null,null,2026-06-15 20:00:37.040872+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48297858-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/e/4/5/1311711048.jpg
